;SLOT_START;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_DEMAND_[MW];AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_IMPORT(-)_EXPORT(+)_[MW];BE_DEMAND_[MW];BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BE_IMPORT(-)_EXPORT(+)_[MW];CH_DEMAND_[MW];CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CH_IMPORT(-)_EXPORT(+)_[MW];DE_DEMAND_[MW];DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_IMPORT(-)_EXPORT(+)_[MW];FR_DEMAND_[MW];FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FR_IMPORT(-)_EXPORT(+)_[MW];NL_DEMAND_[MW];NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NL_IMPORT(-)_EXPORT(+)_[MW];SI_DEMAND_[MW];SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SI_IMPORT(-)_EXPORT(+)_[MW];DK_DEMAND_[MW];DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DK_IMPORT(-)_EXPORT(+)_[MW]
10;2020-07-02 14:00:00+00:00;16.0;68.0;16.0;-2.0;78.0;83.34;-54.0;65.0;16.0;100.0;573.0;16.0;-90.0;516.0;16.0;118.0;113.0;16.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
11;2020-07-02 18:00:00+00:00;16.67;68.0;16.67;15.0;78.0;115.32;-54.0;65.0;16.67;81.0;573.0;16.67;-86.0;516.0;16.67;116.0;113.0;16.67;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
12;2020-07-02 22:00:00+00:00;16.67;68.0;16.67;-23.0;78.0;18.07;-54.0;65.0;16.67;96.0;573.0;16.67;11.0;516.0;16.67;42.0;113.0;16.67;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
13;2020-07-03 02:00:00+00:00;19.06;68.0;19.06;-29.0;78.0;43.81;-54.0;65.0;19.06;89.0;573.0;19.06;13.0;516.0;19.06;53.0;113.0;19.06;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
14;2020-07-03 06:00:00+00:00;17.72;68.0;17.72;-26.0;78.0;82.33;-54.0;65.0;13.58;115.0;573.0;17.72;-65.0;516.0;17.72;117.0;113.0;17.72;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
15;2020-07-03 10:00:00+00:00;16.67;68.0;16.67;-21.0;78.0;38.34;-54.0;65.0;11.4;100.0;573.0;16.67;-11.0;516.0;16.67;58.0;113.0;16.67;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
16;2020-07-03 14:00:00+00:00;18.0;68.0;18.0;2.0;78.0;85.89;-54.0;65.0;16.0;99.0;573.0;18.0;-81.0;516.0;18.0;106.0;113.0;18.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
17;2020-07-03 18:00:00+00:00;16.67;68.0;16.67;7.0;78.0;102.24;-54.0;65.0;12.1;100.0;573.0;16.67;-127.0;516.0;16.67;146.0;113.0;16.67;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
18;2020-07-03 22:00:00+00:00;27.12;68.0;27.12;-35.0;78.0;71.32;-54.0;65.0;27.12;79.0;573.0;27.12;-57.0;516.0;27.12;139.0;113.0;27.12;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
19;2020-07-04 02:00:00+00:00;35.4;68.0;35.4;-45.0;78.0;90.6;-54.0;65.0;35.4;81.0;573.0;35.4;-64.0;516.0;30.76;154.0;113.0;35.4;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
20;2020-07-04 06:00:00+00:00;36.24;68.0;36.24;-29.0;78.0;88.84;-54.0;65.0;36.24;87.0;573.0;36.24;-86.0;516.0;25.0;154.0;113.0;36.24;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
21;2020-07-04 10:00:00+00:00;51.26;68.0;51.26;-40.0;78.0;124.04;-54.0;65.0;51.26;86.0;573.0;51.26;-74.0;516.0;30.6;154.0;113.0;51.26;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
22;2020-07-04 14:00:00+00:00;37.6;68.0;37.6;-30.0;78.0;100.54;-54.0;65.0;37.6;88.0;573.0;37.6;-86.0;516.0;29.12;154.0;113.0;37.6;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
23;2020-07-04 18:00:00+00:00;24.96;68.0;24.96;-32.0;78.0;67.14;-54.0;65.0;24.96;92.0;573.0;24.96;-88.0;516.0;22.44;154.0;113.0;24.96;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
24;2020-07-04 22:00:00+00:00;48.0;68.0;48.0;-7.0;78.0;64.49;-54.0;65.0;48.0;80.0;573.0;48.0;-51.0;516.0;48.0;104.0;113.0;48.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
25;2020-07-05 02:00:00+00:00;59.65;68.0;59.65;-19.0;78.0;70.85;-54.0;65.0;59.65;57.0;573.0;59.65;-43.0;516.0;59.65;131.0;113.0;59.65;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
26;2020-07-05 06:00:00+00:00;68.0;68.0;68.0;-18.0;78.0;97.55;-54.0;65.0;68.0;95.0;573.0;68.0;-82.0;516.0;68.0;137.0;113.0;68.0;-78.0;0.0;0.0;0.0;0.0;0.0;0.0
27;2020-07-05 10:00:00+00:00;126.12;68.0;126.12;-18.0;78.0;126.12;-46.0;65.0;122.3;100.0;573.0;126.12;-85.0;516.0;126.12;121.0;113.0;126.12;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
28;2020-07-05 14:00:00+00:00;88.9;68.0;88.9;-23.0;78.0;88.9;-46.0;65.0;88.9;100.0;573.0;88.9;-34.0;516.0;88.9;75.0;113.0;88.9;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
29;2020-07-05 18:00:00+00:00;39.2;68.0;39.2;-31.0;78.0;86.58;-54.0;65.0;39.2;74.0;573.0;39.2;-37.0;516.0;39.2;120.0;113.0;39.2;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
30;2020-07-05 22:00:00+00:00;59.7;68.0;59.7;40.0;78.0;64.39;-54.0;65.0;59.7;73.0;573.0;59.7;13.0;0.0;0.0;0.0;113.0;59.7;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
31;2020-07-06 02:00:00+00:00;48.95;68.0;48.95;12.0;78.0;63.43;-54.0;65.0;48.0;100.0;573.0;48.95;21.0;0.0;0.0;0.0;113.0;48.95;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
32;2020-07-06 06:00:00+00:00;56.94;68.0;56.94;65.0;78.0;87.06;-54.0;65.0;13.22;97.0;573.0;56.94;-29.0;0.0;0.0;0.0;113.0;56.94;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
33;2020-07-06 10:00:00+00:00;113.04;68.0;113.04;88.0;78.0;113.04;-45.0;65.0;39.03;101.0;573.0;113.04;-64.0;0.0;0.0;0.0;113.0;113.04;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
34;2020-07-06 14:00:00+00:00;59.19;68.0;59.19;60.0;78.0;72.8;-54.0;65.0;22.43;101.0;573.0;59.19;-27.0;0.0;0.0;0.0;113.0;59.19;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
35;2020-07-06 18:00:00+00:00;38.83;68.0;38.83;11.0;78.0;74.71;-54.0;65.0;12.0;101.0;573.0;38.83;19.0;0.0;0.0;0.0;113.0;38.83;-76.0;0.0;0.0;0.0;0.0;0.0;0.0
36;2020-07-06 22:00:00+00:00;22.39;68.0;22.39;21.0;78.0;78.71;-54.0;65.0;22.39;68.0;573.0;22.39;21.0;516.0;22.39;23.0;113.0;82.81;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
37;2020-07-07 02:00:00+00:00;20.34;68.0;20.34;21.0;78.0;69.44;-54.0;65.0;19.45;100.0;573.0;20.34;-42.0;516.0;20.34;54.0;113.0;155.44;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
38;2020-07-07 06:00:00+00:00;19.4;68.0;19.4;53.0;78.0;77.39;-54.0;65.0;10.3;96.0;573.0;19.4;-72.0;516.0;19.4;56.0;113.0;210.75;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
39;2020-07-07 10:00:00+00:00;22.0;68.0;22.0;31.0;78.0;79.9;-54.0;65.0;14.39;100.0;573.0;22.0;-53.0;516.0;22.0;55.0;113.0;87.94;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
40;2020-07-07 14:00:00+00:00;19.0;68.0;19.0;36.0;78.0;65.86;-54.0;65.0;11.6;100.0;573.0;19.0;-65.0;516.0;19.0;62.0;113.0;165.0;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
41;2020-07-07 18:00:00+00:00;12.63;68.0;12.63;37.0;78.0;72.69;-54.0;65.0;12.63;72.0;573.0;12.63;-110.0;516.0;12.63;134.0;113.0;229.88;-79.0;0.0;0.0;0.0;0.0;0.0;0.0
42;2020-07-07 22:00:00+00:00;17.2;68.0;17.2;39.0;78.0;69.84;-54.0;65.0;17.2;97.0;573.0;17.2;-37.0;516.0;17.2;27.0;113.0;17.2;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
43;2020-07-08 02:00:00+00:00;26.4;68.0;26.4;40.0;78.0;70.55;-54.0;65.0;17.09;100.0;573.0;26.4;-36.0;516.0;26.4;27.0;113.0;26.4;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
44;2020-07-08 06:00:00+00:00;27.4;68.0;27.4;53.0;78.0;78.12;-54.0;65.0;27.4;74.0;573.0;27.4;-23.0;516.0;27.4;27.0;113.0;27.4;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
45;2020-07-08 10:00:00+00:00;17.2;68.0;17.2;12.0;78.0;79.41;-54.0;65.0;16.04;100.0;573.0;17.2;-29.0;516.0;17.2;48.0;113.0;17.2;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
46;2020-07-08 14:00:00+00:00;19.12;68.0;19.12;26.0;78.0;63.0;-54.0;65.0;19.12;76.0;573.0;19.12;-45.0;516.0;19.12;75.0;113.0;19.12;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
47;2020-07-08 18:00:00+00:00;17.2;68.0;17.2;25.0;78.0;71.33;-54.0;65.0;17.2;76.0;573.0;17.2;-30.0;516.0;17.2;55.0;113.0;17.2;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
48;2020-07-08 22:00:00+00:00;13.57;68.0;13.57;26.0;78.0;70.65;-54.0;65.0;13.57;99.0;573.0;13.57;-23.0;516.0;13.57;24.0;113.0;13.57;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
49;2020-07-09 02:00:00+00:00;17.45;68.0;17.45;-7.0;78.0;70.13;-54.0;65.0;17.45;84.0;573.0;17.45;5.0;516.0;17.45;49.0;113.0;17.45;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
50;2020-07-09 06:00:00+00:00;20.0;68.0;20.0;15.0;78.0;76.54;-54.0;65.0;20.0;51.0;573.0;20.0;-14.0;516.0;20.0;79.0;113.0;20.0;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
51;2020-07-09 10:00:00+00:00;15.0;68.0;15.0;18.0;78.0;85.03;-54.0;65.0;15.0;62.0;573.0;15.0;-17.0;516.0;15.0;68.0;113.0;15.0;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
52;2020-07-09 14:00:00+00:00;16.67;68.0;16.67;10.0;78.0;65.5;-54.0;65.0;16.67;83.0;573.0;16.67;-31.0;516.0;16.67;69.0;113.0;16.67;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
53;2020-07-09 18:00:00+00:00;11.8;68.0;11.8;-2.0;78.0;68.01;-54.0;65.0;11.8;68.0;573.0;11.8;-45.0;516.0;11.8;109.0;113.0;11.8;-76.0;0.0;0.0;0.0;0.0;0.0;0.0
54;2020-07-09 22:00:00+00:00;25.38;68.0;25.38;38.0;78.0;70.82;-54.0;65.0;21.7;99.0;573.0;25.38;-7.0;516.0;25.38;-19.0;113.0;144.12;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
55;2020-07-10 02:00:00+00:00;26.61;68.0;26.61;40.0;78.0;65.94;-54.0;65.0;20.28;101.0;573.0;26.61;-39.0;516.0;26.61;15.0;113.0;170.94;-62.0;0.0;0.0;0.0;0.0;0.0;0.0
56;2020-07-10 06:00:00+00:00;16.67;68.0;16.67;42.0;78.0;73.59;-54.0;65.0;14.8;97.0;573.0;16.67;-121.0;516.0;16.67;104.0;113.0;211.19;-68.0;0.0;0.0;0.0;0.0;0.0;0.0
57;2020-07-10 10:00:00+00:00;16.67;68.0;16.67;23.0;78.0;85.51;-54.0;65.0;12.1;100.0;573.0;16.67;-19.0;516.0;16.67;18.0;113.0;87.19;-68.0;0.0;0.0;0.0;0.0;0.0;0.0
58;2020-07-10 14:00:00+00:00;23.12;68.0;23.12;37.0;78.0;61.11;-54.0;65.0;10.6;100.0;573.0;23.12;-92.0;516.0;23.12;77.0;113.0;154.5;-68.0;0.0;0.0;0.0;0.0;0.0;0.0
59;2020-07-10 18:00:00+00:00;18.94;68.0;18.94;36.0;78.0;61.26;-54.0;65.0;11.0;100.0;573.0;18.94;-85.0;516.0;18.94;66.0;113.0;207.06;-63.0;0.0;0.0;0.0;0.0;0.0;0.0
60;2020-07-10 22:00:00+00:00;22.08;68.0;22.08;-2.0;78.0;64.28;-54.0;65.0;22.08;81.0;573.0;22.08;-53.0;516.0;22.08;100.0;113.0;22.08;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
61;2020-07-11 02:00:00+00:00;24.0;68.0;24.0;-2.0;78.0;54.93;-54.0;65.0;24.0;61.0;573.0;24.0;-78.0;516.0;24.0;145.0;113.0;24.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
62;2020-07-11 06:00:00+00:00;26.0;68.0;26.0;9.0;78.0;63.51;-54.0;65.0;14.59;102.0;573.0;26.0;-92.0;516.0;26.0;109.0;113.0;26.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
63;2020-07-11 10:00:00+00:00;32.48;68.0;32.48;4.0;78.0;71.98;-54.0;65.0;26.29;101.0;573.0;32.48;-113.0;516.0;32.48;135.0;113.0;32.48;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
64;2020-07-11 14:00:00+00:00;21.3;68.0;21.3;2.0;78.0;51.4;-54.0;65.0;15.3;100.0;573.0;21.3;-102.0;516.0;21.3;126.0;113.0;21.3;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
65;2020-07-11 18:00:00+00:00;20.6;68.0;20.6;43.0;78.0;61.98;-54.0;65.0;16.89;102.0;573.0;20.6;-59.0;516.0;20.6;42.0;113.0;20.6;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
66;2020-07-11 22:00:00+00:00;26.13;68.0;26.13;-1.0;78.0;52.51;-54.0;65.0;26.13;58.0;573.0;26.13;-35.0;516.0;26.13;104.0;113.0;26.13;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
67;2020-07-12 02:00:00+00:00;26.16;68.0;26.16;-1.0;78.0;42.86;-54.0;65.0;26.16;60.0;573.0;26.16;-83.0;516.0;26.16;150.0;113.0;26.16;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
68;2020-07-12 06:00:00+00:00;26.93;68.0;26.93;-1.0;78.0;42.42;-54.0;65.0;26.93;66.0;573.0;26.93;-92.0;516.0;25.88;154.0;113.0;26.93;-73.0;0.0;0.0;0.0;0.0;0.0;0.0
69;2020-07-12 10:00:00+00:00;34.08;68.0;34.08;-5.0;78.0;55.07;-54.0;65.0;34.08;52.0;573.0;34.08;-98.0;516.0;25.32;154.0;113.0;34.08;-48.0;0.0;0.0;0.0;0.0;0.0;0.0
70;2020-07-12 14:00:00+00:00;27.44;68.0;27.44;3.0;78.0;41.21;-54.0;65.0;27.44;89.0;573.0;27.44;-101.0;516.0;27.44;136.0;113.0;27.44;-73.0;0.0;0.0;0.0;0.0;0.0;0.0
71;2020-07-12 18:00:00+00:00;18.82;68.0;18.82;20.0;78.0;60.86;-54.0;65.0;12.0;99.0;573.0;18.82;-46.0;516.0;18.82;53.0;113.0;18.82;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
72;2020-07-12 22:00:00+00:00;23.13;68.0;23.13;0.0;78.0;50.44;-54.0;65.0;16.0;100.0;573.0;23.13;-25.0;516.0;23.13;54.0;113.0;23.13;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
73;2020-07-13 02:00:00+00:00;24.76;68.0;24.76;13.0;78.0;45.03;-54.0;65.0;16.0;101.0;573.0;24.76;-23.0;516.0;24.76;36.0;113.0;24.76;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
74;2020-07-13 06:00:00+00:00;14.9;68.0;14.9;17.0;78.0;48.79;-54.0;65.0;9.6;100.0;573.0;14.9;-13.0;516.0;14.9;27.0;113.0;14.9;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
75;2020-07-13 10:00:00+00:00;14.64;68.0;14.64;15.0;78.0;46.28;-54.0;65.0;14.64;98.0;573.0;14.64;-18.0;516.0;14.64;36.0;113.0;14.64;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
76;2020-07-13 14:00:00+00:00;19.2;68.0;19.2;-7.0;78.0;45.7;-54.0;65.0;11.2;100.0;573.0;19.2;-6.0;516.0;19.2;44.0;113.0;19.2;-77.0;0.0;0.0;0.0;0.0;0.0;0.0
77;2020-07-13 18:00:00+00:00;12.32;68.0;12.32;-22.0;78.0;68.06;-54.0;65.0;12.32;83.0;573.0;12.32;-15.0;516.0;12.32;80.0;113.0;12.32;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
78;2020-07-13 22:00:00+00:00;17.04;68.0;17.04;17.0;78.0;33.97;-54.0;65.0;17.04;63.0;573.0;17.04;-59.0;516.0;17.04;90.0;113.0;250.0;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
79;2020-07-14 02:00:00+00:00;15.0;68.0;15.0;9.0;78.0;35.89;-54.0;65.0;15.0;62.0;573.0;15.0;-42.0;516.0;15.0;87.0;113.0;250.0;-62.0;0.0;0.0;0.0;0.0;0.0;0.0
80;2020-07-14 06:00:00+00:00;12.4;68.0;12.4;-4.0;78.0;57.33;-54.0;65.0;9.6;100.0;573.0;12.4;-64.0;516.0;12.4;84.0;113.0;250.0;-62.0;0.0;0.0;0.0;0.0;0.0;0.0
81;2020-07-14 10:00:00+00:00;11.0;68.0;11.0;-5.0;78.0;40.84;-54.0;65.0;11.0;84.0;573.0;11.0;-19.0;516.0;11.0;56.0;113.0;250.0;-62.0;0.0;0.0;0.0;0.0;0.0;0.0
82;2020-07-14 14:00:00+00:00;14.72;68.0;14.72;-12.0;78.0;49.63;-54.0;65.0;11.11;101.0;573.0;14.72;-22.0;516.0;14.72;50.0;113.0;250.0;-62.0;0.0;0.0;0.0;0.0;0.0;0.0
83;2020-07-14 18:00:00+00:00;12.8;68.0;12.8;-6.0;78.0;68.8;-54.0;65.0;9.4;100.0;573.0;12.8;-54.0;516.0;12.8;72.0;113.0;250.0;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
84;2020-07-14 22:00:00+00:00;20.96;68.0;20.96;50.0;78.0;37.56;-54.0;65.0;16.4;100.0;573.0;20.96;-52.0;516.0;20.96;14.0;113.0;179.69;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
85;2020-07-15 02:00:00+00:00;16.04;68.0;16.04;15.0;78.0;37.3;-54.0;65.0;16.04;89.0;573.0;16.04;-27.0;516.0;16.04;34.0;113.0;222.94;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
86;2020-07-15 06:00:00+00:00;13.0;68.0;13.0;-3.0;78.0;63.58;-54.0;65.0;13.0;100.0;573.0;13.0;-58.0;516.0;13.0;72.0;113.0;312.25;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
87;2020-07-15 10:00:00+00:00;11.0;68.0;11.0;-5.0;78.0;48.73;-54.0;65.0;10.7;100.0;573.0;11.0;16.0;516.0;11.0;0.0;113.0;235.31;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
88;2020-07-15 14:00:00+00:00;15.0;68.0;15.0;4.0;78.0;59.21;-54.0;65.0;15.0;80.0;573.0;15.0;-31.0;516.0;15.0;58.0;113.0;271.19;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
89;2020-07-15 18:00:00+00:00;15.0;68.0;15.0;15.0;78.0;74.59;-54.0;65.0;13.6;78.0;573.0;15.0;-43.0;516.0;15.0;61.0;113.0;290.75;-57.0;0.0;0.0;0.0;0.0;0.0;0.0
90;2020-07-15 22:00:00+00:00;20.17;68.0;20.17;27.0;78.0;37.9;-54.0;65.0;16.4;87.0;573.0;20.17;-19.0;516.0;20.17;19.0;113.0;156.98;-60.0;0.0;0.0;0.0;0.0;0.0;0.0
91;2020-07-16 02:00:00+00:00;19.47;68.0;19.47;15.0;78.0;38.19;-54.0;65.0;17.67;99.0;573.0;19.47;-39.0;516.0;19.47;40.0;113.0;180.8;-60.0;0.0;0.0;0.0;0.0;0.0;0.0
92;2020-07-16 06:00:00+00:00;12.8;68.0;12.8;-10.0;78.0;63.61;-54.0;65.0;12.8;88.0;573.0;12.8;-21.0;516.0;12.8;57.0;113.0;223.71;-60.0;0.0;0.0;0.0;0.0;0.0;0.0
93;2020-07-16 10:00:00+00:00;12.25;68.0;12.25;10.0;78.0;49.04;-54.0;65.0;12.25;77.0;573.0;12.25;-18.0;516.0;12.25;45.0;113.0;175.79;-60.0;0.0;0.0;0.0;0.0;0.0;0.0
94;2020-07-16 14:00:00+00:00;15.24;68.0;15.24;17.0;78.0;56.08;-54.0;65.0;15.24;62.0;573.0;15.24;-16.0;516.0;15.24;51.0;113.0;213.93;-60.0;0.0;0.0;0.0;0.0;0.0;0.0
95;2020-07-16 18:00:00+00:00;15.84;68.0;15.84;18.0;78.0;72.48;-54.0;65.0;15.84;97.0;573.0;15.84;-65.0;516.0;15.84;64.0;113.0;219.31;-60.0;0.0;0.0;0.0;0.0;0.0;0.0
96;2020-07-16 22:00:00+00:00;22.16;68.0;22.16;23.0;78.0;38.56;-54.0;65.0;16.5;100.0;573.0;22.16;14.0;516.0;22.16;-11.0;113.0;22.16;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
97;2020-07-17 02:00:00+00:00;21.43;68.0;21.43;5.0;78.0;40.04;-54.0;65.0;18.46;102.0;573.0;21.43;4.0;516.0;21.43;17.0;113.0;21.43;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
98;2020-07-17 06:00:00+00:00;16.5;68.0;16.5;33.0;78.0;68.04;-54.0;65.0;12.0;101.0;573.0;16.5;-47.0;516.0;16.5;40.0;113.0;16.5;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
99;2020-07-17 10:00:00+00:00;14.0;68.0;14.0;33.0;78.0;53.63;-54.0;65.0;10.4;96.0;573.0;14.0;-16.0;516.0;14.0;13.0;113.0;14.0;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
100;2020-07-17 14:00:00+00:00;18.44;68.0;18.44;17.0;78.0;58.59;-54.0;65.0;12.6;100.0;573.0;18.44;-18.0;516.0;18.44;27.0;113.0;18.44;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
101;2020-07-17 18:00:00+00:00;13.16;68.0;13.16;-9.0;78.0;74.23;-54.0;65.0;11.8;100.0;573.0;13.16;-42.0;516.0;13.16;77.0;113.0;13.16;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
102;2020-07-17 22:00:00+00:00;18.36;68.0;18.36;-1.0;78.0;41.64;-54.0;65.0;15.2;102.0;573.0;18.36;-38.0;516.0;18.36;65.0;113.0;18.36;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
103;2020-07-18 02:00:00+00:00;23.44;68.0;23.44;-4.0;78.0;42.54;-54.0;65.0;14.3;100.0;573.0;23.44;-56.0;516.0;23.44;86.0;113.0;23.44;-72.0;0.0;0.0;0.0;0.0;0.0;0.0
